yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.122297 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001120, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000984, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.614726, Class: 0.938681, Obj: 0.394800, No Obj: 0.000633, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.496751, Class: 0.685324, Obj: 0.036313, No Obj: 0.000181, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000608, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.449861, Class: 0.990687, Obj: 0.126053, No Obj: 0.000397, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.454219, Class: 0.893013, Obj: 0.001224, No Obj: 0.000124, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.704918, Class: 0.150017, Obj: 0.128272, No Obj: 0.000766, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000375, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.618350, Class: 0.862356, Obj: 0.001639, No Obj: 0.000116, .5R: 1.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000275, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.446484, Class: 0.957606, Obj: 0.000099, No Obj: 0.000301, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.617276, Class: 0.856483, Obj: 0.046588, No Obj: 0.000136, .5R: 0.500000, .75R: 0.500000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000362, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.600231, Class: 0.981940, Obj: 0.016466, No Obj: 0.000354, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.517222, Class: 0.369905, Obj: 0.000297, No Obj: 0.000091, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000270, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000211, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.371114, Class: 0.982358, Obj: 0.545325, No Obj: 0.000205, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000599, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.679137, Class: 0.994977, Obj: 0.000155, No Obj: 0.000374, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000131, .5R: -nan, .75R: -nan,  count: 0
604: 0.709065, 0.706314 avg, 0.013309 rate, 2.671302 seconds, 19328 images
Loaded: 0.000060 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.002201, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.625224, Class: 0.982333, Obj: 0.335051, No Obj: 0.001630, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.321452, Class: 0.809653, Obj: 0.000246, No Obj: 0.000230, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.722405, Class: 0.869751, Obj: 0.242047, No Obj: 0.002605, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000384, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.582812, Class: 0.921709, Obj: 0.026197, No Obj: 0.000184, .5R: 0.600000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000251, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000240, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.661312, Class: 0.920999, Obj: 0.246330, No Obj: 0.000184, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000222, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000384, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.664354, Class: 0.932418, Obj: 0.200144, No Obj: 0.000362, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000200, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.587034, Class: 0.288642, Obj: 0.005402, No Obj: 0.000424, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.476925, Class: 0.553961, Obj: 0.093527, No Obj: 0.000416, .5R: 0.545455, .75R: 0.000000,  count: 11
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000440, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000248, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.466587, Class: 0.946828, Obj: 0.002250, No Obj: 0.000094, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000308, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000307, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.458566, Class: 0.230727, Obj: 0.000100, No Obj: 0.000136, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000325, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000258, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000078, .5R: -nan, .75R: -nan,  count: 0
605: 0.911276, 0.726810 avg, 0.013397 rate, 2.674855 seconds, 19360 images
Loaded: 0.000072 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000583, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.630667, Class: 0.859913, Obj: 0.001451, No Obj: 0.000580, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.682927, Class: 0.969397, Obj: 0.002415, No Obj: 0.000233, .5R: 1.000000, .75R: 0.000000,  count: 2
