yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.105496 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.054215, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.171823, Class: 0.372650, Obj: 0.011266, No Obj: 0.019260, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.206345, Class: 0.144809, Obj: 0.003185, No Obj: 0.006763, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053817, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.498397, Class: 0.485267, Obj: 0.006630, No Obj: 0.019059, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.309318, Class: 0.539212, Obj: 0.003355, No Obj: 0.007197, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.365194, Class: 0.584284, Obj: 0.026014, No Obj: 0.055372, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019494, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.355925, Class: 0.154381, Obj: 0.004102, No Obj: 0.007088, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.089717, Class: 0.829163, Obj: 0.062436, No Obj: 0.053116, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.116146, Class: 0.228776, Obj: 0.009217, No Obj: 0.018353, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006832, .5R: -nan, .75R: -nan,  count: 0
103: 4.030452, 4.992260 avg, 0.000011 rate, 2.672197 seconds, 3296 images
Loaded: 0.000095 seconds
Region 82 Avg IOU: 0.281205, Class: 0.476013, Obj: 0.010830, No Obj: 0.053844, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.098869, Class: 0.898255, Obj: 0.001204, No Obj: 0.018533, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006832, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.089207, Class: 0.566457, Obj: 0.030658, No Obj: 0.055324, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019882, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.177862, Class: 0.552222, Obj: 0.000444, No Obj: 0.007788, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053423, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.469796, Class: 0.590007, Obj: 0.019597, No Obj: 0.018434, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.343339, Class: 0.647604, Obj: 0.000306, No Obj: 0.006769, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053271, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.187525, Class: 0.377374, Obj: 0.029748, No Obj: 0.018275, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006851, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053152, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.029769, Class: 0.682368, Obj: 0.018957, No Obj: 0.019244, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.178369, Class: 0.289012, Obj: 0.001227, No Obj: 0.007143, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.754960, Class: 0.751983, Obj: 0.008788, No Obj: 0.051564, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.048928, Class: 0.488963, Obj: 0.018853, No Obj: 0.018048, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006946, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.354119, Class: 0.396791, Obj: 0.018644, No Obj: 0.052552, .5R: 0.333333, .75R: 0.333333,  count: 3
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019763, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.100552, Class: 0.857171, Obj: 0.001383, No Obj: 0.007334, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.704086, Class: 0.170963, Obj: 0.056757, No Obj: 0.052922, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.026014, Class: 0.732142, Obj: 0.006343, No Obj: 0.019415, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.241098, Class: 0.809097, Obj: 0.023805, No Obj: 0.007097, .5R: 0.000000, .75R: 0.000000,  count: 1
104: 5.130080, 5.006042 avg, 0.000012 rate, 2.674497 seconds, 3328 images
Loaded: 0.000097 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.050737, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.106672, Class: 0.199603, Obj: 0.025904, No Obj: 0.018476, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.230384, Class: 0.525298, Obj: 0.000338, No Obj: 0.007258, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.250505, Class: 0.139299, Obj: 0.022183, No Obj: 0.051726, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.303975, Class: 0.535458, Obj: 0.008203, No Obj: 0.018193, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.178172, Class: 0.577594, Obj: 0.008379, No Obj: 0.006888, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.052698, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.194907, Class: 0.579964, Obj: 0.014907, No Obj: 0.019039, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006889, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.052296, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.018366, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.326984, Class: 0.784567, Obj: 0.002890, No Obj: 0.006793, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.051297, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.018855, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.175085, Class: 0.062584, Obj: 0.000876, No Obj: 0.007183, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.374694, Class: 0.528035, Obj: 0.044216, No Obj: 0.052531, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.166601, Class: 0.417359, Obj: 0.059080, No Obj: 0.019304, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.117871, Class: 0.571120, Obj: 0.000924, No Obj: 0.007418, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.049545, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019154, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.203185, Class: 0.469597, Obj: 0.006956, No Obj: 0.006811, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.050641, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.018558, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.434345, Class: 0.130272, Obj: 0.000562, No Obj: 0.006851, .5R: 0.000000, .75R: 0.000000,  count: 1
105: 3.351637, 4.840601 avg, 0.000012 rate, 2.674544 seconds, 3360 images
Loaded: 0.000077 seconds
