yolo-obj
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 0.224560 seconds
Region 106 Avg IOU: 0.630156, Class: 0.992776, Obj: 0.000279, No Obj: 0.000092, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000042, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.619609, Class: 0.970954, Obj: 0.000405, No Obj: 0.000061, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000238, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000036, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000322, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.586226, Class: 0.997861, Obj: 0.661112, No Obj: 0.000348, .5R: 0.666667, .75R: 0.333333,  count: 3
Region 82 Avg IOU: 0.762985, Class: 0.999888, Obj: 0.519210, No Obj: 0.004651, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.569364, Class: 0.993914, Obj: 0.016732, No Obj: 0.001098, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.630109, Class: 0.980903, Obj: 0.016190, No Obj: 0.000281, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.834840, Class: 0.999899, Obj: 0.894388, No Obj: 0.003138, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.795409, Class: 0.997573, Obj: 0.031872, No Obj: 0.000542, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.463429, Class: 0.996845, Obj: 0.048862, No Obj: 0.000194, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.807461, Class: 0.999362, Obj: 0.907255, No Obj: 0.004071, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000458, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.654001, Class: 0.999571, Obj: 0.388699, No Obj: 0.000173, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000069, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000059, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.240499, Class: 0.999640, Obj: 0.150773, No Obj: 0.000295, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000100, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000067, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.709040, Class: 0.998572, Obj: 0.523934, No Obj: 0.000122, .5R: 1.000000, .75R: 0.000000,  count: 1
1502: 0.475847, 0.454910 avg, 0.001000 rate, 5.258712 seconds, 96128 images
Loaded: 0.000063 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000181, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.718886, Class: 0.996704, Obj: 0.002437, No Obj: 0.000400, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.661242, Class: 0.993066, Obj: 0.115547, No Obj: 0.000367, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.784187, Class: 0.999559, Obj: 0.674231, No Obj: 0.003479, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000244, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.535575, Class: 0.996300, Obj: 0.086629, No Obj: 0.000314, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000057, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000082, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.211438, Class: 0.993328, Obj: 0.025270, No Obj: 0.000283, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.002633, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.809389, Class: 0.998272, Obj: 0.586410, No Obj: 0.002331, .5R: 1.000000, .75R: 0.800000,  count: 5
Region 106 Avg IOU: 0.678757, Class: 0.884913, Obj: 0.000239, No Obj: 0.000030, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.510391, Class: 0.988436, Obj: 0.000844, No Obj: 0.000325, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.554924, Class: 0.978828, Obj: 0.000314, No Obj: 0.000680, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000268, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000233, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.373269, Class: 0.966743, Obj: 0.013187, No Obj: 0.000453, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000042, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000027, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.687082, Class: 0.999748, Obj: 0.963542, No Obj: 0.000912, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.669461, Class: 0.987363, Obj: 0.013163, No Obj: 0.000353, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000018, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000045, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.492114, Class: 0.797834, Obj: 0.094268, No Obj: 0.000202, .5R: 0.500000, .75R: 0.250000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000222, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.737985, Class: 0.996582, Obj: 0.062829, No Obj: 0.000926, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 106 Avg IOU: 0.783003, Class: 0.906526, Obj: 0.000655, No Obj: 0.000196, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.722102, Class: 0.999824, Obj: 0.906371, No Obj: 0.005053, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000052, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.708291, Class: 0.935589, Obj: 0.050770, No Obj: 0.000049, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.817620, Class: 0.999624, Obj: 0.130067, No Obj: 0.001357, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.855853, Class: 0.999948, Obj: 0.984372, No Obj: 0.000550, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.533937, Class: 0.993468, Obj: 0.242240, No Obj: 0.000124, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.874815, Class: 0.997128, Obj: 0.227568, No Obj: 0.003600, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.797515, Class: 0.999440, Obj: 0.839188, No Obj: 0.000668, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000027, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.786059, Class: 0.817465, Obj: 0.553815, No Obj: 0.004154, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.727712, Class: 0.995380, Obj: 0.032404, No Obj: 0.000397, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000062, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.644601, Class: 0.999985, Obj: 0.929797, No Obj: 0.003205, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000098, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000033, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.781192, Class: 0.998803, Obj: 0.726920, No Obj: 0.004801, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 94 Avg IOU: 0.500849, Class: 0.995790, Obj: 0.007315, No Obj: 0.000257, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.611011, Class: 0.988548, Obj: 0.147549, No Obj: 0.000328, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000044, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000126, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.620718, Class: 0.997837, Obj: 0.066857, No Obj: 0.000206, .5R: 1.000000, .75R: 0.000000,  count: 3
1503: 0.606762, 0.470096 avg, 0.001000 rate, 5.261171 seconds, 96192 images
Loaded: 0.000074 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000322, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.531515, Class: 0.996572, Obj: 0.007369, No Obj: 0.000479, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.530891, Class: 0.975265, Obj: 0.001430, No Obj: 0.000053, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.757557, Class: 0.999534, Obj: 0.909704, No Obj: 0.005230, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000057, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000014, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.741675, Class: 0.997429, Obj: 0.527406, No Obj: 0.006460, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 94 Avg IOU: 0.763632, Class: 0.993584, Obj: 0.361683, No Obj: 0.000698, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000026, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.777759, Class: 0.999514, Obj: 0.677819, No Obj: 0.003826, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000088, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.715365, Class: 0.997422, Obj: 0.086202, No Obj: 0.000084, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000203, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.648340, Class: 0.999064, Obj: 0.000412, No Obj: 0.000448, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.603022, Class: 0.981424, Obj: 0.016203, No Obj: 0.000129, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000168, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.548741, Class: 0.969934, Obj: 0.003717, No Obj: 0.000492, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.837011, Class: 0.999823, Obj: 0.601683, No Obj: 0.000327, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000696, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.794505, Class: 0.998569, Obj: 0.553943, No Obj: 0.001278, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 106 Avg IOU: 0.500574, Class: 0.995831, Obj: 0.282058, No Obj: 0.000461, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000123, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.351384, Class: 0.994785, Obj: 0.015843, No Obj: 0.000492, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.738616, Class: 0.995378, Obj: 0.003048, No Obj: 0.000194, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.804171, Class: 0.998413, Obj: 0.814403, No Obj: 0.007528, .5R: 1.000000, .75R: 0.750000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000645, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000027, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000014, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000020, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.361516, Class: 0.998816, Obj: 0.274181, No Obj: 0.000144, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.755836, Class: 0.999906, Obj: 0.885218, No Obj: 0.002776, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.626246, Class: 0.873752, Obj: 0.028815, No Obj: 0.000691, .5R: 0.666667, .75R: 0.333333,  count: 3
Region 106 Avg IOU: 0.472666, Class: 0.879115, Obj: 0.022060, No Obj: 0.000112, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000171, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000033, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000027, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000185, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.737384, Class: 0.998775, Obj: 0.860278, No Obj: 0.001275, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.708684, Class: 0.995922, Obj: 0.017415, No Obj: 0.000109, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000029, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000096, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.476250, Class: 0.996132, Obj: 0.050241, No Obj: 0.000404, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000033, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000105, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.656029, Class: 0.997223, Obj: 0.008923, No Obj: 0.000321, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000075, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000042, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000039, .5R: -nan, .75R: -nan,  count: 0
1504: 0.356750, 0.458761 avg, 0.001000 rate, 5.264449 seconds, 96256 images
Loaded: 0.000097 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.002152, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.680221, Class: 0.998231, Obj: 0.465092, No Obj: 0.000911, .5R: 1.000000, .75R: 0.500000,  count: 2
